first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2018-11-19,2019-11-20,32.4516,-3.95,23,2018-12-24,60.14,146,2019-06-21,54.55,253,False,25.85,28.7,XRAY,XRAY,2018-11-19,yfinance
2018-12-24,2019-12-24,11.7074,-18.83,103,2019-05-23,14.0,223,2019-11-12,6.42,253,False,48.9,-42.48,VOD,VOD,2018-12-24,yfinance
2018-12-24,2019-01-08,169.07,1.82,6,2019-01-03,5.99,7,2019-01-04,5.99,10,True,11.16,-5.17,SHPG,SHPG,2018-12-24,yfinance
2018-12-24,2019-12-24,27.6393,1.08,6,2019-01-03,73.82,251,2019-12-23,73.15,253,False,48.9,24.25,STX,STX,2018-12-24,yfinance
2018-12-24,2019-12-24,607.7895,-57.6,249,2019-12-19,18.16,42,2019-02-26,-55.6,253,False,48.9,-104.5,QRTEA,QVCGA,2018-12-24,yfinance
2019-12-23,2020-12-22,82.0881,-57.21,56,2020-03-16,0.54,19,2020-01-22,-9.21,253,False,47.08,-56.29,HAS,HAS,2019-12-23,yfinance
2019-12-23,2020-12-22,109.6977,-35.08,56,2020-03-16,23.57,171,2020-08-27,21.29,253,False,47.08,-25.79,JBHT,JBHT,2019-12-23,yfinance
2019-12-23,2020-12-22,66.38,-34.95,61,2020-03-23,11.04,38,2020-02-19,-0.42,253,False,47.08,-47.5,HSIC,HSIC,2019-12-23,yfinance
2019-12-23,2020-12-22,12.9387,-1.09,2,2019-12-26,65.69,170,2020-08-26,47.04,253,False,47.08,-0.04,NLOK,GEN,2019-12-23,yfinance
2019-12-23,2020-12-22,134.5202,-69.06,58,2020-03-18,8.54,16,2020-01-16,-19.02,253,False,47.08,-66.1,WYNN,WYNN,2019-12-23,yfinance
2019-12-23,2020-12-22,16.0272,-33.43,54,2020-03-12,14.71,29,2020-02-05,-10.94,253,False,47.08,-58.02,MYL,VTRS,2019-12-23,yfinance
2020-04-20,2021-04-20,11.06,-18.26,19,2020-05-15,127.58,227,2021-03-15,84.18,253,False,58.89,25.29,AAL,AAL,2020-04-20,yfinance
2020-04-30,2021-04-30,164.6813,1.4,129,2020-11-02,47.13,252,2021-04-30,47.13,253,False,55.14,-8.01,WTW,WTW,2020-04-30,yfinance
2020-06-22,2021-06-22,36.54,-17.43,12,2020-07-09,70.91,185,2021-03-17,50.99,253,False,41.46,9.53,UAL,UAL,2020-06-22,yfinance
2020-07-20,2021-07-20,70.67,-1.14,3,2020-07-23,32.98,144,2021-02-12,24.66,253,False,35.06,-10.4,CSGP,CSGP,2020-07-20,yfinance
2020-08-24,2021-08-24,36.716,-2.62,21,2020-09-23,102.66,200,2021-06-10,96.95,253,False,32.55,64.4,NTAP,NTAP,2020-08-24,yfinance
2020-10-19,2021-10-19,30.7887,-9.51,10,2020-11-02,88.59,157,2021-06-04,36.0,253,False,33.01,2.99,WDC,WDC,2020-10-19,yfinance
2020-12-21,2021-12-21,121.8486,-0.17,1,2020-12-22,52.75,222,2021-11-08,43.7,253,False,26.6,17.1,EXPE,EXPE,2020-12-21,yfinance
2020-12-21,2021-12-21,87.51,-18.04,214,2021-10-27,4.53,231,2021-11-19,2.45,253,False,26.6,-24.15,BMRN,BMRN,2020-12-21,yfinance
2020-12-21,2021-12-21,12.1099,0.39,1,2020-12-22,29.87,192,2021-09-27,19.15,253,False,26.6,-7.45,LBTYK,LBTYK,2020-12-21,yfinance
2020-12-21,2021-12-21,201.77,-28.01,189,2021-09-22,5.73,32,2021-02-08,-11.07,253,False,26.6,-37.67,TTWO,TTWO,2020-12-21,yfinance
2020-12-21,2021-12-21,268.14,-1.31,3,2020-12-24,54.34,228,2021-11-16,41.07,253,False,26.6,14.47,ULTA,ULTA,2020-12-21,yfinance
2020-12-21,2021-12-21,12.2926,-0.42,49,2021-03-04,26.15,192,2021-09-27,14.71,253,False,26.6,-11.89,LBTYA,LBTYA,2020-12-21,yfinance
2021-12-20,2022-12-20,73.45,-10.12,38,2022-02-14,14.51,244,2022-12-08,10.37,253,False,-28.68,39.05,INCY,INCY,2021-12-20,yfinance
2021-12-20,2022-12-20,21.6349,-22.95,57,2022-03-14,60.17,250,2022-12-16,58.69,253,False,-28.68,87.37,TCOM,TCOM,2021-12-20,yfinance
2021-12-20,2022-12-20,112.45,-2.78,203,2022-10-11,32.49,49,2022-03-02,13.86,253,False,-28.68,42.54,CHKP,CHKP,2021-12-20,yfinance
2021-12-20,2022-12-20,31.7572,-20.31,215,2022-10-27,18.42,36,2022-02-10,-15.72,253,False,-28.68,12.96,FOX,FOX,2021-12-20,yfinance
2021-12-20,2022-12-20,34.3407,-21.57,215,2022-10-27,20.91,36,2022-02-10,-16.61,253,False,-28.68,12.07,FOXA,FOXA,2021-12-20,yfinance
2021-12-20,2022-12-20,175.6415,-17.57,204,2022-10-12,11.45,10,2022-01-04,-3.03,253,False,-28.68,25.65,CDW,CDW,2021-12-20,yfinance
2022-01-24,2023-01-25,29.71,-76.67,173,2022-09-30,30.49,12,2022-02-09,-61.6,253,False,-17.96,-43.64,PTON,PTON,2022-01-24,yfinance
2022-11-21,2023-11-22,48.29,-0.66,1,2022-11-22,88.24,130,2023-05-31,48.95,253,False,39.31,9.64,OKTA,OKTA,2022-11-21,yfinance
2022-12-19,2023-12-20,38.9677,-29.53,221,2023-11-06,34.06,28,2023-01-31,-15.33,253,False,50.38,-65.71,MTCH,MTCH,2022-12-19,yfinance
2022-12-19,2023-12-20,112.08,-6.34,218,2023-11-01,42.95,33,2023-02-07,-0.76,253,False,50.38,-51.14,BIDU,BIDU,2022-12-19,yfinance
2022-12-19,2023-12-20,65.1623,-1.76,1,2022-12-20,69.24,231,2023-11-20,46.43,253,False,50.38,-3.95,NTES,NTES,2022-12-19,yfinance
2022-12-19,2023-12-20,81.681,-5.32,6,2022-12-28,34.13,33,2023-02-07,22.6,253,False,50.38,-27.78,SWKS,SWKS,2022-12-19,yfinance
2022-12-19,2023-12-20,197.4939,-4.63,55,2023-03-10,13.99,105,2023-05-22,1.89,253,False,50.38,-48.49,VRSN,VRSN,2022-12-19,yfinance
