ticker,removal_date,company,reason,include
NCLH,2017-12-18,Norwegian Cruise Line Holdings,Annual index reconstitution. Norwegian Cruise Line was dropped due to transferring its listing from NASDAQ to the NYSE.,1
DISCK,2017-12-18,Discovery Communications Series C,Annual index reconstitution.,1
DISCA,2017-12-18,Discovery Communications Series A,Annual index reconstitution.,1
AKAM,2017-12-18,Akamai Technologies,Annual index reconstitution.,1
DISH,2018-07-23,Dish Network,Dish Network did not meet the minimum monthly weight requirement.,1
CA,2018-11-05,CA Inc.,NXP Semiconductors rejoined the index following its failed acquisition by Qualcomm. CA Inc. merged with Broadcom.,0
XRAY,2018-11-19,Dentsply Sirona,Dentsply Sirona did not meet the minimum monthly weight requirements.,1
ESRX,2018-12-24,Express Scripts,Annual index reconstitution.,1
HOLX,2018-12-24,Hologic,Annual index reconstitution.,1
VOD,2018-12-24,Vodafone,Annual index reconstitution.,1
SHPG,2018-12-24,Shire PLC,Annual index reconstitution.,1
STX,2018-12-24,Seagate Technology,Annual index reconstitution.,1
QRTEA,2018-12-24,Qurate Retail,Annual index reconstitution.,1
FOX,2019-03-19,21st Century Fox Class B,"Two classes of stock of Fox Corporation replaced the two classes of stock of 21st Century Fox, which was acquired by The Walt Disney Company.",0
FOXA,2019-03-19,21st Century Fox Class A,"Two classes of stock of Fox Corporation replaced the two classes of stock of 21st Century Fox, which was acquired by The Walt Disney Company.",0
CELG,2019-11-21,Celgene,Celgene was acquired by Bristol Myers Squibb.,0
HAS,2019-12-23,Hasbro,Annual index reconstitution.,1
JBHT,2019-12-23,J.B. Hunt,Annual index reconstitution.,1
HSIC,2019-12-23,Henry Schein,Annual index reconstitution.,1
NLOK,2019-12-23,NortonLifeLock,Annual index reconstitution.,1
WYNN,2019-12-23,Wynn Resorts,Annual index reconstitution.,1
MYL,2019-12-23,Mylan,Annual index reconstitution.,1
AAL,2020-04-20,American Airlines,American Airlines did not meet the minimum monthly weight requirements.,1
WTW,2020-04-30,Willis Towers Watson,WTW did not meet the minimum monthly weight requirements.,1
UAL,2020-06-22,United Airlines Holdings,United Airlines did not meet the minimum monthly weight requirements.,1
CSGP,2020-07-20,CoStar Group,CoStar did not meet the minimum monthly weight requirements.,1
NTAP,2020-08-24,NetApp,NetApp did not meet the minimum monthly weight requirements.,1
WDC,2020-10-19,Western Digital,Western Digital did not meet the minimum monthly weight requirements.,1
CTXS,2020-12-21,Citrix Systems,Annual index reconstitution.,1
EXPE,2020-12-21,Expedia,Annual index reconstitution.,1
BMRN,2020-12-21,BioMarin Pharmaceutical,Annual index reconstitution.,1
LBTYK,2020-12-21,Liberty Global,Annual index reconstitution.,1
TTWO,2020-12-21,Take-Two Interactive,Annual index reconstitution.,1
ULTA,2020-12-21,Ulta Beauty,Annual index reconstitution.,1
LBTYA,2020-12-21,Liberty Global,Annual index reconstitution.,1
ALXN,2021-07-21,Alexion Pharmaceuticals,Alexion Pharmaceuticals was acquired by AstraZeneca.,0
MXIM,2021-08-26,Maxim Integrated Products,Maxim Integrated Products was acquired by Analog Devices.,0
INCY,2021-12-20,Incyte,Annual index reconstitution.,1
TCOM,2021-12-20,Trip.com,Annual index reconstitution.,1
CHKP,2021-12-20,Check Point,Annual index reconstitution.,1
CERN,2021-12-20,Cerner,Annual index reconstitution. Cerner was acquired by Oracle Corporation and rebranded as Oracle Health.,0
FOX,2021-12-20,Fox Corporation,Annual index reconstitution.,1
FOXA,2021-12-20,Fox Corporation,Annual index reconstitution.,1
CDW,2021-12-20,CDW,Annual index reconstitution.,1
PTON,2022-01-24,Peloton,Peloton did not meet the minimum monthly weight requirements.,1
XLNX,2022-02-22,Xilinx,Xilinx was acquired by AMD.,0
OKTA,2022-11-21,Okta,Okta did not meet the minimum monthly weight requirements.,1
MTCH,2022-12-19,Match Group,Annual index reconstitution.,1
BIDU,2022-12-19,Baidu,Annual index reconstitution.,1
SPLK,2022-12-19,Splunk,Annual index reconstitution.,1
NTES,2022-12-19,NetEase,Annual index reconstitution.,1
SWKS,2022-12-19,Skyworks,Annual index reconstitution.,1
VRSN,2022-12-19,VeriSign,Annual index reconstitution.,1
DOCU,2022-12-19,DocuSign,Annual index reconstitution.,1
FI,2023-06-07,Fiserv,Fiserv transferred its listing from NASDAQ to the NYSE.,1
RIVN,2023-06-20,Rivian Automotive,Rivian did not meet the minimum monthly weight requirements.,1
ATVI,2023-07-17,Activision Blizzard,Activision Blizzard was acquired by Microsoft.,0
SGEN,2023-12-14,Seagen Inc.,Seagen merged with Pfizer.,0
ALGN,2023-12-18,Align Technology,Annual index reconstitution.,1
EBAY,2023-12-18,EBay,Annual index reconstitution.,1
ZM,2023-12-18,Zoom Video Communications,Annual index reconstitution.,1
JD,2023-12-18,JD.com,Annual index reconstitution.,1
LCID,2023-12-18,Lucid Group,Annual index reconstitution.,1
ENPH,2023-12-18,Enphase Energy,Annual index reconstitution.,1
SPLK,2024-03-18,Splunk,Splunk was acquired by Cisco.,0
SIRI,2024-06-24,Sirius XM,Sirius XM did not meet the minimum monthly weight requirements.,1
WBA,2024-07-22,Walgreens Boots Alliance,WBA did not meet the minimum monthly weight requirements.,1
DLTR,2024-11-18,Dollar Tree,Dollar Tree did not meet the minimum monthly weight requirements.,1
SMCI,2024-12-23,Supermicro,Annual index reconstitution.,1
MRNA,2024-12-23,Moderna,Annual index reconstitution.,1
ILMN,2024-12-23,Ilumina,Annual index reconstitution.,1
MDB,2025-05-19,MongoDB,MongoDB did not meet the minimum monthly weight requirements.,1
ANSS,2025-07-17,Ansys,Ansys was acquired by Synopsys.,0
SOLS,2025-11-06,Solstice Advanced Materials,Solstice Advanced Materials did not meet the minimum monthly weight requirements.,1
ON,2025-12-22,ON Semiconductor,Annual index reconstitution.,1
LULU,2025-12-22,Lululemon Athletica,Annual index reconstitution.,1
GFS,2025-12-22,GlobalFoundries,Annual index reconstitution.,1
CDW,2025-12-22,CDW Corporation,Annual index reconstitution.,1
BIIB,2025-12-22,Biogen,Annual index reconstitution.,1
TTD,2025-12-22,Trade Desk (The),Annual index reconstitution.,1
VSNT,2026-01-09,Versant,Versant did not meet the minimum monthly weight requirements.,1
AZN,2026-01-20,AstraZeneca,Walmart transferred its listing from NYSE to NASDAQ and replaced AstraZeneca in the index. AstraZeneca was preparing to transfer its listing from Nasdaq to the NYSE.,1
TEAM,2026-04-20,Atlassian,Atlassian did not meet the minimum monthly weight requirements.,1
CSGP,2026-05-18,CoStar Group,CoStar did not meet the minimum monthly weight requirements.,1
